date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,7.5,0,0.6,1,-4.8,3,0,984.5,4.4,0,10,0,320,0,14,6.175,1.1,1.6,12.5,12.5,4.6,51.842,-8.485,155
09-Apr-08,0,9.7,0,2.8,1,-3.6,0,0.6,981.8,4.7,0,10,0,300,0,14,7.075,1.5,2,13.2,13.2,5.5,51.842,-8.485,155
10-Apr-08,0,9,0,1.9,0,0,0,4.3,976.2,8.8,0,17,0,260,0,26,7.45,1.8,2.9,10.5,10.5,3,51.842,-8.485,155
11-Apr-08,0,8.7,0,2.3,0,0.4,0,3.8,976.6,12.1,0,22,0,290,0,33,6.925,1.5,2.6,8,8,0.7,51.842,-8.485,155
12-Apr-08,0,12.3,0,2,1,-1.7,0,0.3,983.5,7.7,0,17,0,270,0,24,7.35,2.1,3.1,9.7,9.7,2.5,51.842,-8.485,155
13-Apr-08,0,11.8,0,3.8,0,1.1,0,0.3,993.2,9.3,0,16,0,10,0,24,8.525,2.1,3.2,11.3,11.3,4.3,51.842,-8.485,155
14-Apr-08,0,12.2,0,3.8,0,0.6,3,0.1,1002.5,5.5,0,11,0,350,0,16,9.35,2.7,3.8,13.6,13.6,6.8,51.842,-8.485,155
15-Apr-08,0,11.9,0,3.4,1,-1.6,3,0,1003,5.2,0,10,0,210,0,16,9.925,2.5,3.6,15.7,15.7,9.3,51.842,-8.485,155
16-Apr-08,0,9.6,0,3.5,1,-0.8,3,0,994.7,15.3,0,24,0,120,0,34,8.575,1.9,3.7,17.4,17.4,11.2,51.842,-8.485,155
17-Apr-08,0,9.8,0,4.8,0,3.9,0,0.4,984.9,18.1,0,26,0,90,0,39,8.125,1.9,3,18.6,18.6,12.7,51.842,-8.485,155
18-Apr-08,0,10.8,0,3.3,0,1.9,0,1.5,979.3,17.2,0,25,0,60,0,36,7.325,2,3.3,18.7,18.7,13.2,51.842,-8.485,155
19-Apr-08,0,7.8,0,5.1,0,4.6,0,1.8,979.5,15.2,0,20,0,60,0,31,6.825,1.1,1.8,17.8,17.8,12.4,51.842,-8.485,155
20-Apr-08,0,9.7,0,5.6,0,4.8,0,2.9,984.6,9.2,0,15,0,60,0,22,7.675,1,1.5,15.7,15.7,10.4,51.842,-8.485,155
21-Apr-08,0,11.5,0,6.9,0,6.5,2,0,989.3,4.3,0,10,0,10,0,13,9.025,1.3,1.7,16.8,16.8,11.7,51.842,-8.485,155
22-Apr-08,0,11.4,0,5.7,1,-0.1,0,6.3,988.2,8.7,0,16,0,150,0,25,8.925,1,1.6,11.4,11.4,6.4,51.842,-8.485,155
23-Apr-08,0,13.2,0,5.9,0,4.5,0,7.6,992,11.3,0,21,0,160,0,36,9.75,1.6,2.7,5.2,5.2,0.3,51.842,-8.485,155
24-Apr-08,0,13.3,0,5.2,0,3.3,0,2,996.5,10,0,19,0,250,0,29,9.75,2.1,3.4,5.2,5.2,0.4,51.842,-8.485,155
25-Apr-08,0,11.9,0,8,0,7,0,3.2,1000.7,12.5,0,19,0,210,0,29,10,0.5,1,2.5,2.5,-2.2,51.842,-8.485,155
26-Apr-08,0,14.1,0,7.9,0,9.7,0,2.7,997.8,9,0,18,0,210,0,28,11.425,1.5,2.2,1.2,1.2,-3.4,51.842,-8.485,155
27-Apr-08,0,12.3,0,5.1,0,0.1,0,8.7,992,5.9,0,15,0,200,0,24,9.5,1.6,2.4,0,-5.9,-10,51.842,-8.485,155
28-Apr-08,0,12.1,0,4.1,0,3.3,0,3.3,982.2,6.3,0,13,0,300,0,20,9.225,2.1,3.1,0,-1.2,-10,51.842,-8.485,155
29-Apr-08,0,11.3,0,4.2,1,-0.3,0,2.4,975.5,11.9,0,22,0,50,0,35,8.725,1.7,2.8,0,-0.7,-10,51.842,-8.485,155
30-Apr-08,0,12,0,5.2,0,3.2,2,0,977.6,13,0,19,0,320,0,29,9.1,2.6,4.3,2.6,2.6,-6.9,51.842,-8.485,155
01-May-08,0,11.9,0,3.5,0,0.5,0,1.1,985.5,6.9,0,15,0,210,0,22,9.2,2.3,3.4,3.8,3.8,-5.3,51.842,-8.485,155
02-May-08,0,13,0,5,0,0.2,0,1,993.4,9.2,0,18,0,150,0,26,9.45,1.6,2.5,4.3,4.3,-4.5,51.842,-8.485,155
03-May-08,0,13.4,0,9.3,0,8.6,0,11.2,992.6,15.9,0,19,0,150,0,32,10.975,0.8,1.3,0,-6.1,-10,51.842,-8.485,155
04-May-08,0,15.4,0,9.3,0,8.6,0,4.8,996.8,10.3,0,16,0,170,0,27,12.85,2.6,4.1,0,-2.2,-10,51.842,-8.485,155
05-May-08,0,12.6,0,7.1,0,9.2,0,0.4,1004.7,6.6,0,10,0,140,0,14,12.55,1.4,2.2,1,1,-8.5,51.842,-8.485,155
06-May-08,0,15.6,0,7.3,0,6.8,3,0,1001.4,8.7,0,13,0,100,0,19,13.9,2.9,4.7,3.9,3.9,-5.1,51.842,-8.485,155
07-May-08,0,15.1,0,9.5,0,6.1,3,0,996.7,8,0,12,0,100,0,17,13.775,2,3.1,5.9,5.9,-2.9,51.842,-8.485,155
08-May-08,0,13.8,0,10.8,0,8.8,0,6.9,991.2,8.6,0,17,0,100,0,25,12.725,1.4,2,0.3,0.3,-8.2,51.842,-8.485,155
09-May-08,0,15.5,0,10,0,10,0,0,993.6,7.7,0,12,0,330,0,16,13.35,2.3,3.4,2.6,2.6,-5.5,51.842,-8.485,155
10-May-08,0,16.1,0,10,0,9.1,0,2.3,999.1,7.1,0,12,0,330,0,18,12.95,1.7,2.5,2,2,-5.8,51.842,-8.485,155
11-May-08,0,17,0,10.7,0,8.1,2,0,1000.9,4,0,10,0,90,0,14,15.075,2.6,3.5,4.5,4.5,-3,51.842,-8.485,155
12-May-08,0,20,0,8.5,0,4.6,3,0.1,999.5,5.4,0,11,0,100,0,15,16.35,3.8,5.5,8.1,8.1,0.9,51.842,-8.485,155
13-May-08,0,19.6,0,12.9,0,9.5,0,0,998.2,11.5,0,16,0,80,0,23,16.375,4.2,6.2,12,12,5.2,51.842,-8.485,155
14-May-08,0,19.7,0,10.3,0,7.8,3,0,996.2,8,0,13,0,70,0,18,16.5,3.7,5.4,15.3,15.3,8.9,51.842,-8.485,155
15-May-08,0,16.4,0,7.8,0,3.9,3,0,992.7,6.8,0,11,0,70,0,16,16.125,3.4,5,18.2,18.2,12.3,51.842,-8.485,155
16-May-08,0,14.4,0,9.4,0,6.9,0,0.4,990.7,3.2,0,6,0,80,0,11,15.4,1.8,2.4,19.3,19.3,13.7,51.842,-8.485,155
17-May-08,0,14.5,0,9.7,0,9.5,0,5.1,990.6,4.5,0,10,0,70,0,15,14.925,2,2.8,15.9,15.9,10.5,51.842,-8.485,155
18-May-08,0,11.7,0,7.7,0,7.6,0,0.7,995.2,7.8,0,13,0,90,0,19,12.9,1.3,1.9,16.3,16.3,11.1,51.842,-8.485,155
19-May-08,0,15,0,7.3,0,4.6,3,0,997.3,7.8,0,14,0,160,0,20,13.075,2.5,3.7,18.5,18.5,13.6,51.842,-8.485,155
20-May-08,0,12.1,0,7.9,0,4.2,0,0.1,994.9,12.7,0,18,0,130,0,29,11.775,1.8,2.9,19.8,19.8,15.2,51.842,-8.485,155
21-May-08,0,11.4,0,10,0,10.2,0,29.7,990.6,16.1,0,21,0,130,0,31,11.475,0.8,1.4,0,-9.3,-10,51.842,-8.485,155
22-May-08,0,15.9,0,9.7,0,7.1,0,0.9,989.2,5.9,0,10,0,190,0,16,13.65,3.1,4.6,2.2,2.2,-7.3,51.842,-8.485,155
23-May-08,0,15,0,10.6,0,8.9,0,1.6,990.4,8.2,0,13,0,110,0,18,13.825,2,3.1,2.6,2.6,-6.5,51.842,-8.485,155
24-May-08,0,18.2,0,10.2,0,7.8,3,0.1,994,14,0,20,0,70,0,30,14.3,3.8,5.9,6.2,6.2,-2.4,51.842,-8.485,155
25-May-08,0,16.5,0,8.3,0,5.7,0,3.8,995.5,16.1,0,24,0,50,0,40,13.325,2.9,4.8,5.2,5.2,-3.2,51.842,-8.485,155
26-May-08,0,17,0,8.3,0,8.5,0,1,995.2,17.2,0,26,0,40,0,40,12.375,3.4,5.1,7.5,7.5,-0.6,51.842,-8.485,155
27-May-08,0,10.8,0,8.5,0,7.2,0,1.3,991.7,10.2,0,17,0,50,0,25,11,1.2,1.9,7.3,7.3,-0.7,51.842,-8.485,155
28-May-08,0,16.3,0,8.6,0,7.8,0,0,988.3,4.1,0,10,0,230,0,14,12.975,2.3,3.2,9.5,9.5,1.7,51.842,-8.485,155
29-May-08,0,14,0,7.7,0,2.9,0,0.7,992.1,7.1,0,13,0,100,0,17,12.8,1.4,2,10,10,2.4,51.842,-8.485,155
30-May-08,0,16.7,0,10.7,0,9.8,0,2.2,995.7,4.7,0,8,0,70,0,11,14.4,1.8,2.5,9.5,9.5,2,51.842,-8.485,155
31-May-08,0,18.6,0,10.7,0,11.1,3,0.2,998.2,2.2,0,6,0,210,0,12,17.675,3.9,5.1,12.9,12.9,5.7,51.842,-8.485,155
01-Jun-08,0,21,0,10.8,0,4.9,3,0,996.9,3.6,0,8,0,310,0,11,18.475,4.5,6,16.9,16.9,10.3,51.842,-8.485,155
02-Jun-08,0,18,0,8.9,0,7.3,3,0,993.8,5.5,0,14,0,220,0,19,18.2,2.9,4.2,19.4,19.4,13.2,51.842,-8.485,155
03-Jun-08,0,17.3,0,7.4,0,3.5,3,0,995.8,7.7,0,17,0,210,0,25,17.025,3.9,5.7,22.6,22.6,16.9,51.842,-8.485,155
04-Jun-08,0,17,0,8.3,0,6.6,0,7,994,10.1,0,17,0,180,0,27,15.125,3.3,4.9,18.1,18.1,13,51.842,-8.485,155
05-Jun-08,0,16.7,0,6.6,0,5,3,0,998.6,8,0,14,0,280,0,23,15.325,3.9,5.7,21.4,21.4,16.7,51.842,-8.485,155
06-Jun-08,0,16.6,0,7.8,0,5.2,0,1.3,1001.5,5.5,0,10,0,280,0,15,15.575,3.3,4.6,22.7,22.7,18.5,51.842,-8.485,155
07-Jun-08,0,16.8,0,7.6,0,3.5,0,0.2,1003.3,4.4,0,9,0,260,0,14,16.425,3.3,4.6,25.2,25.2,21.3,51.842,-8.485,155
08-Jun-08,0,18.3,0,10.5,0,8.4,0,3.4,1006.5,4.5,0,10,0,320,0,15,16.7,1.7,2.3,23.1,23.1,19.4,51.842,-8.485,155
09-Jun-08,0,22.8,0,12.4,0,12.7,3,0,1008.6,8.2,0,15,0,330,0,24,18.9,4.7,6.7,26.8,26.8,23.7,51.842,-8.485,155
10-Jun-08,0,21,0,12.4,0,10.9,0,0,1009.4,11,0,17,0,330,0,25,19.25,4.6,6.8,30.3,30.3,27.7,51.842,-8.485,155
11-Jun-08,0,20.9,0,12.7,0,11.7,0,0.9,1006.4,10.1,0,16,0,310,0,25,18.625,2.6,3.6,31.3,31.3,28.9,51.842,-8.485,155
12-Jun-08,0,16.1,0,9,0,7.3,3,0,1004.6,9.5,0,15,0,350,0,22,16.6,3.2,4.8,33.5,33.5,31.5,51.842,-8.485,155
13-Jun-08,0,15.6,0,8,0,5.7,2,0,1002.1,8,0,13,0,320,0,19,15.425,3,4.4,35.6,35.6,33.9,51.842,-8.485,155
14-Jun-08,0,16,0,8.9,0,7.3,3,0,998.2,5.5,0,10,0,310,0,15,15.725,2.6,3.5,37.4,37.4,35.8,51.842,-8.485,155
15-Jun-08,0,15.8,0,7.4,0,6,3,0,994.8,6.9,0,10,0,320,0,19,16.175,2.9,4.1,39.3,39.3,38,51.842,-8.485,155
16-Jun-08,0,15.8,0,7.2,0,5.6,0,0,994.7,6.9,0,12,0,340,0,16,16.05,3.7,5.3,41.7,41.7,40.6,51.842,-8.485,155
17-Jun-08,0,17.1,0,8.5,0,7,0,6.9,990,11.5,0,21,0,220,0,36,15.325,2.5,3.9,36.3,36.3,35.5,51.842,-8.485,155
18-Jun-08,0,14,0,9.3,0,10.4,0,23.7,983,10.3,0,22,0,220,0,38,13.675,1.2,1.8,13.4,13.4,12.7,51.842,-8.485,155
19-Jun-08,0,18.8,0,7.9,0,5.7,2,0,990.8,8.3,0,14,0,280,0,21,14.15,3.9,5.8,16.9,16.9,16.5,51.842,-8.485,155
20-Jun-08,0,16,0,9.6,0,7.3,2,0,997.2,3.8,0,8,0,160,0,13,15.625,2.8,3.8,19.3,19.3,19.1,51.842,-8.485,155
21-Jun-08,0,15.3,0,10.6,0,10.6,0,47.7,987.4,13.2,0,21,0,80,0,31,14.475,0.8,1.4,0,-10,-10,51.842,-8.485,155
22-Jun-08,0,16.7,0,9.9,0,8.7,0,0.1,988.2,15.2,0,24,0,270,0,34,14.725,3.2,5.5,3.1,3.1,-6.4,51.842,-8.485,155
23-Jun-08,0,16.4,0,8.4,0,6.2,3,0,999.3,6.2,0,12,0,170,0,19,15.1,3,4.3,6,6,-3.1,51.842,-8.485,155
24-Jun-08,0,13.8,0,11.4,0,11.5,0,9.2,991.8,14.4,0,22,0,150,0,33,14.075,1,1.9,0,-2.3,-10,51.842,-8.485,155
25-Jun-08,0,17.5,0,10,0,11.6,0,1.4,991.6,14.5,0,20,0,210,0,31,14.85,3.2,5.4,1.8,1.8,-7.7,51.842,-8.485,155
26-Jun-08,0,15.7,0,11.1,0,8.7,0,20.4,994.4,12.8,0,22,0,220,0,36,14.125,1.4,2.3,0,-10,-10,51.842,-8.485,155
27-Jun-08,0,19.4,0,11.9,0,9.6,0,2.5,995.5,10.6,0,18,0,210,0,27,15.175,1.5,2.1,0,-1,-10,51.842,-8.485,155
28-Jun-08,0,18.1,0,11.7,0,10.5,0,0.2,997,10.2,0,15,0,240,0,23,15.175,2.5,3.8,2.3,2.3,-7.2,51.842,-8.485,155
29-Jun-08,0,17.8,0,11.4,0,10.2,0,4,997.5,9.7,0,18,0,280,0,28,15.825,3.5,5.3,1.7,1.7,-7.3,51.842,-8.485,155
30-Jun-08,0,16.4,0,8.6,0,5.3,2,0,994.6,11.3,0,18,0,170,0,33,14.85,1.1,1.6,2.8,2.8,-5.9,51.842,-8.485,155
01-Jul-08,0,16.4,0,12.7,0,13.5,0,10.1,985.6,14.8,0,21,0,200,0,34,15.225,2.3,3.9,0,-5.1,-10,51.842,-8.485,155
02-Jul-08,0,16.3,0,11.2,0,11.1,0,13.2,984.1,7,0,15,0,200,0,24,15.075,2.2,3.2,0,-10,-10,51.842,-8.485,155
03-Jul-08,0,16.8,0,8.5,0,7.8,0,1.1,989.9,6.7,0,13,0,250,0,19,15.325,3.3,4.8,2.2,2.2,-7.3,51.842,-8.485,155
04-Jul-08,0,13.5,0,8.7,0,2.4,0,22.5,986.2,14.4,0,26,0,100,0,40,13.15,0.9,1.7,0,-10,-10,51.842,-8.485,155
05-Jul-08,0,18,0,11.8,0,12,0,8.4,979,8.4,0,17,0,80,0,24,15.5,1.9,2.7,0,-6.5,-10,51.842,-8.485,155
06-Jul-08,0,16,0,11.2,0,9.7,0,20.3,980.3,10.3,0,17,0,300,0,29,14.875,1.9,3,0,-10,-10,51.842,-8.485,155
07-Jul-08,0,16,0,10.8,0,11.7,0,0.3,983.9,12.7,0,20,0,300,0,28,14.7,3,4.7,2.7,2.7,-6.8,51.842,-8.485,155
08-Jul-08,0,17.2,0,8.9,0,7.8,0,6.8,989.2,8.2,0,14,0,240,0,22,14.45,2.6,3.9,0,-1.6,-10,51.842,-8.485,155
09-Jul-08,0,17.4,0,11.5,0,11.7,0,2,984.7,8.5,0,17,0,220,0,26,15.425,1.9,3,0,-0.1,-9.6,51.842,-8.485,155
10-Jul-08,0,19,0,10.3,0,9.3,0,1.6,984,9,0,15,0,260,0,23,15.8,3.5,5.5,1.9,1.9,-7.1,51.842,-8.485,155
11-Jul-08,0,16.3,0,9.8,0,9.8,2,0,990.1,10.8,0,17,0,330,0,24,15.375,2.6,4,4.5,4.5,-4.1,51.842,-8.485,155
12-Jul-08,0,16.8,0,9.6,0,7.9,0,1.1,993.8,7,0,13,0,300,0,18,14.775,2.8,4,6.1,6.1,-2.2,51.842,-8.485,155
13-Jul-08,0,16.1,0,8.3,0,3.9,0,0.2,996.3,5.5,0,10,0,210,0,15,14.675,1.6,2.3,7.4,7.4,-0.7,51.842,-8.485,155
14-Jul-08,0,21.2,0,13.9,0,13.8,0,0.1,1002.8,5.9,0,12,0,290,0,19,17.575,2.1,2.9,9.3,9.3,1.3,51.842,-8.485,155
15-Jul-08,0,20.1,0,12,0,11.2,2,0,1007.6,8.3,0,13,0,320,0,18,17.35,2.3,3.2,11.4,11.4,3.6,51.842,-8.485,155
16-Jul-08,0,17.1,0,10.1,0,8.6,2,0,1005.3,7,0,13,0,300,0,19,16.275,2.7,3.8,13.8,13.8,6.3,51.842,-8.485,155
17-Jul-08,0,19.2,0,11.2,0,10.4,0,0.2,998.2,7.2,0,15,0,290,0,22,17,2.7,3.8,16,16,8.9,51.842,-8.485,155
18-Jul-08,0,20.8,0,13.6,0,12.6,0,0.5,992.5,8.6,0,15,0,270,0,21,18.325,3.1,4.4,18.2,18.2,11.5,51.842,-8.485,155
19-Jul-08,0,18.4,0,11.1,0,9.3,2,0,995.6,11.8,0,17,0,310,0,25,17.85,2.1,2.7,21.1,21.1,14.7,51.842,-8.485,155
20-Jul-08,0,18,0,9.7,0,8,3,0,1004.5,10,0,16,0,320,0,23,17.075,2,2.6,22.8,22.8,16.7,51.842,-8.485,155
21-Jul-08,0,19.7,0,9.4,0,7.3,3,0,1008.3,5.6,0,10,0,270,0,16,17.575,2.6,3.6,23.7,23.7,18,51.842,-8.485,155
22-Jul-08,0,19.2,0,12.3,0,13.2,3,0,1007,5.4,0,10,0,220,0,13,18.575,2.5,3.5,25.7,25.7,20.3,51.842,-8.485,155
23-Jul-08,0,17.3,0,12.1,0,11,3,0,1001.5,7.5,0,13,0,100,0,20,17.975,2,2.9,27.2,27.2,22.1,51.842,-8.485,155
24-Jul-08,0,20.2,0,13.7,0,12.3,0,0.3,993.8,11.2,0,18,0,100,0,27,18.3,2.7,4,28.9,28.9,24.1,51.842,-8.485,155
25-Jul-08,0,20.2,0,13.2,0,14.6,2,0,990.9,6.3,0,14,0,280,0,21,18.7,2.3,3,30.6,30.6,26.1,51.842,-8.485,155
26-Jul-08,0,18.6,0,11.1,0,4.7,3,0,996.4,4.9,0,11,0,210,0,17,17.85,3.2,4.4,32.9,32.9,28.7,51.842,-8.485,155
27-Jul-08,0,19,0,13.2,0,11.8,2,0,998,5.8,0,10,0,160,0,15,18.5,2.3,3.3,34.5,34.5,30.7,51.842,-8.485,155
28-Jul-08,0,17.3,0,13,0,10.1,0,12,993.6,6.4,0,11,0,70,0,18,16.75,1.1,1.5,23.3,23.3,19.5,51.842,-8.485,155
29-Jul-08,0,15.8,0,12.8,0,13.1,0,31.8,987.5,7.1,0,16,0,130,0,24,15.725,0.8,1.2,0,-7.9,-10,51.842,-8.485,155
30-Jul-08,0,18.8,0,13.3,0,13.3,0,8.7,988,8.7,0,13,0,190,0,23,16.975,2.7,4,0,-6,-10,51.842,-8.485,155
31-Jul-08,0,16.3,0,12,0,9.1,0,14.6,985.3,5,0,11,0,100,0,16,15.85,1.2,1.7,0,-10,-10,51.842,-8.485,155
01-Aug-08,0,19.8,0,11.6,0,11.4,0,4.1,986.8,9.6,0,15,0,260,0,22,16.125,3.3,5,0,-0.8,-10,51.842,-8.485,155
02-Aug-08,0,19.5,0,11.3,0,8.6,0,1.7,990.8,8.5,0,14,0,240,0,24,16.275,2.9,4.3,1.2,1.2,-8.3,51.842,-8.485,155
03-Aug-08,0,19,0,11.8,0,11.4,0,0.1,990,8.6,0,16,0,260,0,23,16.225,3.2,4.7,4.2,4.2,-4.8,51.842,-8.485,155
04-Aug-08,0,17.9,0,12.9,0,10.7,0,6.1,991,6.3,0,14,0,100,0,21,15.925,2,2.8,0.1,0.1,-8.7,51.842,-8.485,155
05-Aug-08,0,17.6,0,13.5,0,12.7,0,5.8,987.3,9.5,0,15,0,220,0,24,16.475,1.2,1.9,0,-4.5,-10,51.842,-8.485,155
06-Aug-08,0,19.4,0,13.4,0,13.9,0,7.5,986.8,6.5,0,14,0,200,0,21,17.5,2.5,3.6,0,-5,-10,51.842,-8.485,155
07-Aug-08,0,19,0,12.7,0,7.7,0,1.2,989.7,10.2,0,18,0,350,0,27,16.775,2.3,3.4,1.1,1.1,-8.4,51.842,-8.485,155
08-Aug-08,0,18.6,0,9.8,0,6.5,0,0.5,994.6,7.5,0,13,0,190,0,21,16.025,3,4.4,3.6,3.6,-5.5,51.842,-8.485,155
09-Aug-08,0,18.5,0,12.1,0,13.9,0,13.8,986.5,12.8,0,19,0,220,0,29,16.65,1.1,1.8,0,-9.2,-10,51.842,-8.485,155
10-Aug-08,0,18.1,0,11.3,0,10.9,0,1,981.8,12.8,0,19,0,250,0,31,15.475,2.3,3.6,1.3,1.3,-8.2,51.842,-8.485,155
11-Aug-08,0,17.3,0,10,0,9.8,0,10.6,976.1,8.5,0,17,0,210,0,26,14.775,1.1,1.6,0,-8.2,-10,51.842,-8.485,155
12-Aug-08,0,15.6,0,9.3,0,7,0,5.6,970.7,7.7,0,18,0,310,0,26,14.25,2.2,3.3,0,-3.4,-10,51.842,-8.485,155
13-Aug-08,0,16.1,0,8.5,0,10.3,0,12.5,980.7,13.3,0,22,0,270,0,32,14.1,2,3.2,0,-10,-10,51.842,-8.485,155
14-Aug-08,0,17.2,0,8.3,0,5.7,0,14.1,992.3,5,0,10,0,240,0,17,13.95,2.2,3,0,-10,-10,51.842,-8.485,155
15-Aug-08,0,15.8,0,8,0,4.4,0,8.3,988.5,7.7,0,16,0,150,0,28,13.55,1,1.5,0,-7.3,-10,51.842,-8.485,155
16-Aug-08,0,17.4,0,10.9,0,11.7,0,11,980.2,10.7,0,20,0,290,0,28,15.425,2.2,3.5,0,-8.8,-10,51.842,-8.485,155
17-Aug-08,0,15.2,0,9,0,7.5,0,8.7,979,9.2,0,17,0,160,0,28,13.6,0.9,1.5,0,-7.8,-10,51.842,-8.485,155
18-Aug-08,0,16.6,0,12.5,0,11.2,0,13.4,973.5,12.7,0,19,0,160,0,30,14.725,0.9,1.5,0,-10,-10,51.842,-8.485,155
19-Aug-08,0,18.6,0,12.1,0,11.8,0,0.2,984.8,10.8,0,17,0,310,0,25,15.375,2.3,3.4,2.1,2.1,-7.4,51.842,-8.485,155
20-Aug-08,0,18,0,11.4,0,10.8,0,9.9,989.9,7,0,13,0,220,0,19,15.625,1.8,2.5,0,-6.1,-10,51.842,-8.485,155
21-Aug-08,0,18.9,0,11.4,0,9.9,0,1.6,995.3,6.8,0,13,0,330,0,21,15.9,2.3,3.1,0.7,0.7,-8.8,51.842,-8.485,155
22-Aug-08,0,17.1,0,9.9,0,8.1,3,0,1000,6.7,0,11,0,310,0,18,14.525,2,2.8,2.7,2.7,-6.4,51.842,-8.485,155
23-Aug-08,0,15.2,0,10.2,0,8.1,0,9.1,992.2,9.1,0,17,0,190,0,28,14.1,0.6,1,0,-5.8,-10,51.842,-8.485,155
24-Aug-08,0,16.8,0,9.8,0,8,0,0.9,987.2,9.6,0,16,0,220,0,24,14.525,1.6,2.5,0.7,0.7,-8.8,51.842,-8.485,155
25-Aug-08,0,16.7,0,14.1,0,13.8,0,0.3,991.2,11.9,0,19,0,220,0,30,15.35,0.7,1,1.1,1.1,-7.9,51.842,-8.485,155
26-Aug-08,0,17.7,0,14.5,0,14.3,0,0.4,998.4,11.3,0,16,0,240,0,25,15.725,1,1.4,1.7,1.7,-6.9,51.842,-8.485,155
27-Aug-08,0,17.7,0,14.4,0,14.1,0,0.1,1002.1,7.1,0,12,0,230,0,20,15.775,1.4,1.9,3,3,-5.3,51.842,-8.485,155
28-Aug-08,0,23.9,0,12.1,0,11,3,0,1002.5,5.1,0,10,0,280,0,17,17.675,3,4.1,5.9,5.9,-2,51.842,-8.485,155
29-Aug-08,0,18,0,14.5,0,13,0,0.3,999.3,4.1,0,7,0,150,0,11,17.575,1.3,1.7,6.8,6.8,-0.9,51.842,-8.485,155
30-Aug-08,0,16.4,0,12.6,0,14.4,0,6.9,994.5,6.6,0,11,0,340,0,17,16.725,1.1,1.6,1,1,-6.7,51.842,-8.485,155
31-Aug-08,0,17.4,0,10.9,0,9.2,0,9.4,991.3,8.2,0,16,0,220,0,26,15.6,2.1,3,0,-6.4,-10,51.842,-8.485,155
01-Sep-08,0,16.8,0,8.3,0,5.5,0,1.3,986.2,8.2,0,15,0,230,0,23,14.4,2.4,3.6,1.1,1.1,-8.4,51.842,-8.485,155
02-Sep-08,0,15.4,0,7.9,0,7.6,0,4.8,981.2,12.3,0,22,0,280,0,37,13.225,1.9,3.1,0,-1.9,-10,51.842,-8.485,155
03-Sep-08,0,14.8,0,7.8,0,5.1,0,4.5,980.2,10.7,0,19,0,240,0,31,12.4,1.1,1.8,0,-3.4,-10,51.842,-8.485,155
04-Sep-08,0,16,0,9.8,0,9,0,6.9,975.3,6.1,0,12,0,80,0,21,13.475,1.7,2.5,0,-5.2,-10,51.842,-8.485,155
05-Sep-08,0,12.2,0,10.5,0,9,0,30.7,969.2,15.6,0,22,0,330,0,33,12.625,0.6,1.2,0,-10,-10,51.842,-8.485,155
06-Sep-08,0,16.8,0,9.7,0,10.3,0,0.8,981.5,12.3,0,22,0,350,0,30,13,2,2.8,1.2,1.2,-8.3,51.842,-8.485,155
07-Sep-08,0,14.8,0,7.6,0,3.2,3,0,991.6,5.4,0,15,0,330,0,23,12.375,1.9,2.7,3,3,-6.1,51.842,-8.485,155
08-Sep-08,0,15.4,0,8.8,0,6.9,0,4.8,989.3,7.6,0,14,0,160,0,22,12.825,1.1,1.6,0,-0.7,-9.4,51.842,-8.485,155
09-Sep-08,0,15.1,0,7.3,0,11.6,0,35.5,981.6,13.5,0,23,0,240,0,38,13.425,0.6,1.1,0,-10,-10,51.842,-8.485,155
10-Sep-08,0,15.2,0,7.1,0,3.8,0,11.7,980.5,14.2,0,24,0,190,0,38,12.3,0.5,0.9,0,-10,-10,51.842,-8.485,155
11-Sep-08,0,15.3,0,8.6,0,11.1,0,3.8,981.5,11.5,0,21,0,210,0,35,13.5,1.4,2.2,0,-2.4,-10,51.842,-8.485,155
12-Sep-08,0,16.3,0,9.6,0,5.6,0,1.4,994.8,7.6,0,15,0,300,0,20,13.125,1.8,2.6,0.4,0.4,-9.1,51.842,-8.485,155
13-Sep-08,0,14,0,7.3,0,2.1,0,5.1,999.8,5.5,0,10,0,190,0,16,12.125,0.7,1,0,-4,-10,51.842,-8.485,155
14-Sep-08,0,14.1,0,11.9,0,13.3,0,11,1001.2,7.2,0,13,0,140,0,19,14.075,0.7,1.1,0,-10,-10,51.842,-8.485,155
15-Sep-08,0,17.2,0,10.7,0,9.9,3,0,1004,8.3,0,12,0,330,0,18,14.05,1.6,2.2,1.6,1.6,-7.9,51.842,-8.485,155
16-Sep-08,0,15.5,0,9.2,0,8.3,3,0,1004.7,9.5,0,14,0,360,0,19,13.125,1.5,2.1,3,3,-6.1,51.842,-8.485,155
17-Sep-08,0,17.2,0,7.2,0,4.8,3,0,1003.7,5.1,0,10,0,330,0,15,13.075,1.8,2.5,4.7,4.7,-4,51.842,-8.485,155
18-Sep-08,0,15.3,0,8.3,0,3,0,0.2,1004.2,4.9,0,12,0,210,0,18,12.525,1.3,1.8,5.8,5.8,-2.7,51.842,-8.485,155
19-Sep-08,0,16.8,0,9.6,0,10.1,3,0,1007.8,5.6,0,10,0,220,0,15,13.8,1.2,1.6,6.9,6.9,-1.4,51.842,-8.485,155
20-Sep-08,0,16.7,0,10.6,0,7.4,3,0.1,1008.5,5.4,0,10,0,150,0,16,14.55,1.4,2.1,8.1,8.1,0,51.842,-8.485,155
